title,authors,year,venue,doi,abstract,source_url,discovery_source,discovery_query,inclusion_path,citation_count,reference_count,affiliations,candidate_id,scored_at,is_preprint,venue_score,citation_score,institution_score,institution_bonus,relevance_score,total_quality_score,review_reason,recommended_action
Cybersecurity and Cyberwar,Peter Singer; Allan H. Friedman,2014.0,Oxford University Press eBooks,10.1093/wentk/9780199918096.001.0001,,https://doi.org/10.1093/wentk/9780199918096.001.0001,OpenAlex,cybersecurity,discovery,469.0,0.0,,529,2026-04-28T15:13:06.340854+00:00,False,100.0,100.0,20.0,0.0,12.5,78.12,,auto-include
Recent Advances on Federated Learning for Cybersecurity and Cybersecurity for Federated Learning for Internet of Things,Bimal Ghimire; Danda B. Rawat,2022.0,IEEE Internet of Things Journal,10.1109/jiot.2022.3150363,,https://doi.org/10.1109/jiot.2022.3150363,OpenAlex,cybersecurity,discovery,437.0,143.0,,531,2026-04-28T15:13:06.340854+00:00,False,100.0,100.0,20.0,0.0,25.0,81.25,,auto-include
Vulnerability Assessment of Cybersecurity for SCADA Systems,Chee‐Wooi Ten; Chen‐Ching Liu; Govindarasu Manimaran,2008.0,IEEE Transactions on Power Systems,10.1109/tpwrs.2008.2002298,,https://doi.org/10.1109/tpwrs.2008.2002298,OpenAlex,cybersecurity,discovery,572.0,19.0,,532,2026-04-28T15:13:06.340854+00:00,False,100.0,100.0,20.0,0.0,12.5,78.12,,auto-include
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Maanak Gupta; Charankumar Akiri; Kshitiz Aryal; Eli Parker; Lopamudra Praharaj,2023.0,IEEE Access,10.1109/access.2023.3300381,,https://doi.org/10.1109/access.2023.3300381,OpenAlex,cybersecurity,discovery,648.0,9.0,,533,2026-04-28T15:13:06.340854+00:00,False,100.0,100.0,20.0,0.0,25.0,81.25,,auto-include
Artificial intelligence for cybersecurity: Literature review and future research directions,Ramanpreet Kaur; Dušan Gabrijelčič; Tomaž Klobučar,2023.0,Information Fusion,10.1016/j.inffus.2023.101804,,https://doi.org/10.1016/j.inffus.2023.101804,OpenAlex,cybersecurity,discovery,510.0,312.0,,535,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,37.5,63.38,,auto-include
Internet of Things (IoT) Cybersecurity Research: A Review of Current Research Topics,Yang Lu; Li Da Xu,2018.0,IEEE Internet of Things Journal,10.1109/jiot.2018.2869847,,https://doi.org/10.1109/jiot.2018.2869847,OpenAlex,cybersecurity,discovery,559.0,126.0,,536,2026-04-28T15:13:06.340854+00:00,False,100.0,100.0,20.0,0.0,37.5,84.38,,auto-include
Cybersecurity for Critical Infrastructures: Attack and Defense Modeling,Chee‐Wooi Ten; Manimaran Govindarasu; Chen‐Ching Liu,2010.0,IEEE Transactions on Systems Man and Cybernetics - Part A Systems and Humans,10.1109/tsmca.2010.2048028,,https://doi.org/10.1109/tsmca.2010.2048028,OpenAlex,cybersecurity,discovery,432.0,80.0,,538,2026-04-28T15:13:06.340854+00:00,False,100.0,100.0,20.0,0.0,12.5,78.12,,auto-include
"Cybersecurity in healthcare: A narrative review of trends, threats and ways forward",Lynne Coventry; Dawn Branley-Bell,2018.0,Maturitas,10.1016/j.maturitas.2018.04.008,,https://doi.org/10.1016/j.maturitas.2018.04.008,OpenAlex,cybersecurity,discovery,455.0,28.0,,540,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,37.5,63.38,,auto-include
"AI-Driven Cybersecurity: An Overview, Security Intelligence Modeling and Research Directions",Iqbal H. Sarker; Md Hasan Furhad; Raza Nowrozy,2021.0,SN Computer Science,10.1007/s42979-021-00557-0,,https://doi.org/10.1007/s42979-021-00557-0,OpenAlex,cybersecurity,discovery,489.0,175.0,,542,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,37.5,63.38,,auto-include
"Human factors in cybersecurity; examining the link between Internet addiction, impulsivity, attitudes towards cybersecurity, and risky cybersecurity behaviours",Lee Hadlington,2017.0,Heliyon,10.1016/j.heliyon.2017.e00346,,https://doi.org/10.1016/j.heliyon.2017.e00346,OpenAlex,cybersecurity,discovery,263.0,44.0,,543,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,25.0,60.25,,auto-include
The Cybersecurity Landscape in Industrial Control Systems,Stephen McLaughlin; Charalambos Konstantinou; Xueyang Wang; Lucas Davi; Ahmad‐Reza Sadeghi; Michail Maniatakos; Ramesh Karri,2016.0,Proceedings of the IEEE,10.1109/jproc.2015.2512235,,https://doi.org/10.1109/jproc.2015.2512235,OpenAlex,cybersecurity,discovery,369.0,110.0,,545,2026-04-28T15:13:06.340854+00:00,False,100.0,100.0,20.0,0.0,12.5,78.12,,auto-include
Harnessing Artificial Intelligence Capabilities to Improve Cybersecurity,Sherali Zeadally; Erwin Adi; Zubair Baig; Imran Ali Khan,2020.0,IEEE Access,10.1109/access.2020.2968045,,https://doi.org/10.1109/access.2020.2968045,OpenAlex,cybersecurity,discovery,300.0,184.0,,549,2026-04-28T15:13:06.340854+00:00,False,100.0,100.0,20.0,0.0,25.0,81.25,,auto-include
Data-Driven Cybersecurity Incident Prediction: A Survey,Nan Sun; Jun Zhang; Paul Rimba; Shang Gao; Leo Yu Zhang; Yang Xiang,2018.0,IEEE Communications Surveys & Tutorials,10.1109/comst.2018.2885561,,https://doi.org/10.1109/comst.2018.2885561,OpenAlex,cybersecurity,discovery,331.0,110.0,,550,2026-04-28T15:13:06.340854+00:00,False,100.0,100.0,20.0,0.0,12.5,78.12,,auto-include
The Art of Cybercrime Community Research,Jack Hughes; Sergio Pastrana; Alice Hutchings; Sadia Afroz; Sagar Samtani; Weifeng Li; Ericsson Marin,2024.0,ACM Computing Surveys,10.1145/3639362,,https://doi.org/10.1145/3639362,OpenAlex,cybercrime research,discovery,16.0,119.0,,592,2026-04-28T15:13:06.340854+00:00,False,100.0,61.39,20.0,0.0,25.0,65.81,,auto-include
